Year,Neonatal period,Age,Birthweight,Country,Region,Country of birth,Sex,Units,Unit multiplier,Observation status,GeoCode,Value
2005,,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.4
2005,,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,3.0
2005,,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,3.8
2005,Early neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.6
2005,Early neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,2.3
2005,Early neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,3.0
2005,Late neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.8
2005,Late neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2005,Late neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,0.8
2006,,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.5
2006,,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,3.2
2006,,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,3.8
2006,Early neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.6
2006,Early neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,2.3
2006,Early neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,2.9
2006,Late neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.9
2006,Late neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,0.9
2006,Late neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,0.9
2007,,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.3
2007,,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,2.9
2007,,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,3.6
2007,Early neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.5
2007,Early neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,2.3
2007,Early neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,2.7
2007,Late neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.8
2007,Late neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2007,Late neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,0.9
2008,,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.2
2008,,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,2.8
2008,,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,3.5
2008,Early neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.4
2008,Early neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,2.2
2008,Early neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,2.7
2008,Late neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.8
2008,Late neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2008,Late neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,0.8
2009,,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.1
2009,,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,2.9
2009,,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,3.4
2009,Early neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.4
2009,Early neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,2.2
2009,Early neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,2.6
2009,Late neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2009,Late neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2009,Late neonatal,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,0.8
2010,,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.9
2010,,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.8
2010,,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.2
2010,,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,2.7
2010,,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,2.1
2010,,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,4.2
2010,,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.0
2010,,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.4
2010,,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.5
2010,,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,2.7
2010,,,,England and Wales,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,3.2
2010,Early neonatal,,,England and Wales,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.3
2010,Early neonatal,,,England and Wales,,Born in UK‚ Isle of Man or Channel Islands,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.2
2010,Early neonatal,,,England and Wales,,Not born in UK,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.5
2010,Early neonatal,,,England and Wales,,Born in EU (Non-UK),,"Rate per 1,000 live births",Units,Normal value,K04000001,2.0
2010,Early neonatal,,,England and Wales,,Born in Rest of Europe (Non-EU),,"Rate per 1,000 live births",Units,Low reliability,K04000001,1.5
2010,Early neonatal,,,England and Wales,,Born in Africa,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.4
2010,Early neonatal,,,England and Wales,,Born in the Americas or the Caribbean,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.2
2010,Early neonatal,,,England and Wales,,Born in Middle East or Asia,,"Rate per 1,000 live births",Units,Normal value,K04000001,2.7
2010,Early neonatal,,,England and Wales,,Born in Antarctica or Oceania,,"Rate per 1,000 live births",Units,Low reliability,K04000001,0.8
2010,Early neonatal,,,England and Wales,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,2.1
